date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:04	31149/31149	---M-Z	200	added ('OK')	text/html	etag:W/%225ddd06cc-79ad%22	https://technext.github.io/clark/index.html	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/index.html	(from )
14:13:04	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://technext.github.io/robots.txt		(from )
14:13:05	9467/9467	---M-Z	200	added ('OK')	text/css	etag:W/%225ddd06cc-24fb%22	https://technext.github.io/clark/css/open-iconic-bootstrap.min.css	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/css/open-iconic-bootstrap.min.css	(from https://technext.github.io/clark/index.html)
14:13:05	73641/73641	---M-Z	200	added ('OK')	text/css	etag:W/%225ddd06cc-11fa9%22	https://technext.github.io/clark/css/animate.css	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/css/animate.css	(from https://technext.github.io/clark/index.html)
14:13:05	3440/3440	---M-Z	200	added ('OK')	text/css	etag:W/%225ddd06cc-d70%22	https://technext.github.io/clark/css/owl.carousel.min.css	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/css/owl.carousel.min.css	(from https://technext.github.io/clark/index.html)
14:13:05	965/965	---M-Z	200	added ('OK')	text/css	etag:W/%225ddd06cc-3c5%22	https://technext.github.io/clark/css/owl.theme.default.min.css	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/css/owl.theme.default.min.css	(from https://technext.github.io/clark/index.html)
14:13:05	6950/6950	---M-Z	200	added ('OK')	text/css	etag:W/%225ddd06cc-1b26%22	https://technext.github.io/clark/css/magnific-popup.css	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/css/magnific-popup.css	(from https://technext.github.io/clark/index.html)
14:13:06	25983/25983	---M-Z	200	added ('OK')	text/css	etag:W/%225ddd06cc-657f%22	https://technext.github.io/clark/css/aos.css	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/css/aos.css	(from https://technext.github.io/clark/index.html)
14:13:07	46816/46816	---M-Z	200	added ('OK')	text/css	etag:W/%225ddd06cc-b6e0%22	https://technext.github.io/clark/css/ionicons.min.css	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/css/ionicons.min.css	(from https://technext.github.io/clark/index.html)
14:13:07	1407/1407	---M-Z	200	added ('OK')	text/css	etag:W/%225ddd06cc-57f%22	https://technext.github.io/clark/css/flaticon.css	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/css/flaticon.css	(from https://technext.github.io/clark/index.html)
14:13:07	79875/79875	---M-Z	200	added ('OK')	text/css	etag:W/%225ddd06cc-13803%22	https://technext.github.io/clark/css/icomoon.css	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/css/icomoon.css	(from https://technext.github.io/clark/index.html)
14:13:07	261464/261464	---M-Z	200	added ('OK')	text/css	etag:W/%225ddd06cc-3fd58%22	https://technext.github.io/clark/css/style.css	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/css/style.css	(from https://technext.github.io/clark/index.html)
14:13:08	474621/474621	---M--	200	added ('OK')	image/jpeg	etag:%225ddd06cc-73dfd%22	https://technext.github.io/clark/images/project-4.jpg	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/images/project-4.jpg	(from https://technext.github.io/clark/index.html)
14:13:08	1315736/1315736	---M--	200	added ('OK')	image/png	etag:%225ddd06cc-141398%22	https://technext.github.io/clark/images/bg_1.png	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/images/bg_1.png	(from https://technext.github.io/clark/index.html)
14:13:08	103196/103196	---M--	200	added ('OK')	image/jpeg	etag:%225ddd06cc-1931c%22	https://technext.github.io/clark/images/project-5.jpg	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/images/project-5.jpg	(from https://technext.github.io/clark/index.html)
14:13:09	214973/214973	---M--	200	added ('OK')	image/jpeg	etag:%225ddd06cc-347bd%22	https://technext.github.io/clark/images/project-1.jpg	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/images/project-1.jpg	(from https://technext.github.io/clark/index.html)
14:13:09	101536/101536	---M--	200	added ('OK')	image/jpeg	etag:%225ddd06cc-18ca0%22	https://technext.github.io/clark/images/project-6.jpg	C:/Users/Dell/Desktop/ankit%20folder/ankit%20portfolio/technext.github.io/clark/images/project-6.jpg	(from https://technext.github.io/clark/index.html)
